Name,Username,Tweet ID (click to view url),Retweets,Comments,Favorites,Is Retweet?,Date,Tweet Text,Author Followers,Author Friends,Author Favorites,Author Statuses,Author Bio,Author Image,Author Location,Author Verified,Tweet Source,Status URL,
Häagen-Dazs,HaagenDazs_US,1883934254188617915,0,1,0,no,1/27/25 17:45,@ShaqsFunHouse We can’t wait 🤎,45536,265,0,31062,#ThatsDazs,https://pbs.twimg.com/profile_images/1516872003172532225/RsmNC6s7_normal.jpg,,no,Twitter for iPhone,https://www.twitter.com/HaagenDazs_US/status/1883934254188617915,https://www.twitter.com/HaagenDazs_US
Häagen-Dazs,HaagenDazs_US,1885068313195069798,0,0,0,no,1/30/25 20:51,"@powerofhalo We're sorry to hear this. Feel free to message, as we'd like to know more.",45536,265,0,31062,#ThatsDazs,https://pbs.twimg.com/profile_images/1516872003172532225/RsmNC6s7_normal.jpg,,no,Sprout Social,https://www.twitter.com/HaagenDazs_US/status/1885068313195069798,https://www.twitter.com/HaagenDazs_US
Häagen-Dazs,HaagenDazs_US,1886416836155297805,195,2,427,no,2/3/25 14:09,Not so fast. Not so furious. We’re cruisin’ straight to the Big Game 🏈 with @vindiesel @mrodofficial and @ludacris. 🎶@smokeyrobinsonFilmed with love in LA. Please share in our restoration efforts with Habitat for Humanity of Greater Los Angeles. Link in bio for more. https://t.co/ZAoh3ZIdzE,45536,265,427,31062,#ThatsDazs,https://pbs.twimg.com/profile_images/1516872003172532225/RsmNC6s7_normal.jpg,,no,Twitter for iPhone,https://www.twitter.com/HaagenDazs_US/status/1886416836155297805,https://www.twitter.com/HaagenDazs_US
Häagen-Dazs,HaagenDazs_US,1888227816606732494,12,1,44,no,2/8/25 14:06,Sit back and enjoy the ride to Game Day tomorrow with @vindiesel @MRodOfficial @Ludacris https://t.co/9LWHbjsNFT,45536,265,44,31062,#ThatsDazs,https://pbs.twimg.com/profile_images/1516872003172532225/RsmNC6s7_normal.jpg,,no,Twitter for iPhone,https://www.twitter.com/HaagenDazs_US/status/1888227816606732494,https://www.twitter.com/HaagenDazs_US
Häagen-Dazs,HaagenDazs_US,1888772605169299846,36,14,97,no,2/10/25 2:10,Let’s cruise. @vindiesel and @mrodofficial are embracing the slow life with Häagen-Dazs. We’re not so sure about @ludacris 🤣 https://t.co/IetWKI2Ewz,45536,265,97,31062,#ThatsDazs,https://pbs.twimg.com/profile_images/1516872003172532225/RsmNC6s7_normal.jpg,,no,Twitter for iPhone,https://www.twitter.com/HaagenDazs_US/status/1888772605169299846,https://www.twitter.com/HaagenDazs_US
Häagen-Dazs,HaagenDazs_US,1888787481539269042,0,0,1,no,2/10/25 3:10,@oscarmayer @vindiesel @MRodOfficial @Ludacris see you there ;),45536,265,1,31062,#ThatsDazs,https://pbs.twimg.com/profile_images/1516872003172532225/RsmNC6s7_normal.jpg,,no,Twitter for iPhone,https://www.twitter.com/HaagenDazs_US/status/1888787481539269042,https://www.twitter.com/HaagenDazs_US
Häagen-Dazs,HaagenDazs_US,1888787559494701558,0,0,1,no,2/10/25 3:10,@Walmart family is everything 🤎,45536,265,1,31062,#ThatsDazs,https://pbs.twimg.com/profile_images/1516872003172532225/RsmNC6s7_normal.jpg,,no,Twitter for iPhone,https://www.twitter.com/HaagenDazs_US/status/1888787559494701558,https://www.twitter.com/HaagenDazs_US
Häagen-Dazs,HaagenDazs_US,1893287407698502017,0,0,0,no,2/22/25 13:11,@brefenty That's a great question. Please send us a DM so we can make this up to you. https://t.co/sx09UBTHt2,45536,265,0,31062,#ThatsDazs,https://pbs.twimg.com/profile_images/1516872003172532225/RsmNC6s7_normal.jpg,,no,Sprout Social,https://www.twitter.com/HaagenDazs_US/status/1893287407698502017,https://www.twitter.com/HaagenDazs_US
